,ID,week 1,week 2,week 3,week 4,week 5,week 6,week 7,week 8,week 9,week 10,week 11,week 12,week 13,week 14,grade
42,16144,1,1,3,4,3,2,4,6,4,2,5,5,10,B,
43,34064,0,2,1,3,2,3,2,3,2,2,1,2,3,C,
44,75538,0,2,1,1,2,1,5,1,3,2,1,4,8,12,A
45,38687,0,1,4,3,5,3,2,7,2,5,4,7,9,A,
46,40230,1,0,1,2,2,3,0,2,4,1,2,2,1,A,
47,58151,0,1,1,2,3,3,0,3,3,3,6,3,15,A,
48,62252,1,0,2,1,1,2,1,2,3,1,7,4,5,B,
49,95538,1,4,2,2,1,1,4,2,1,2,2,3,5,0,A
50,18744,0,0,0,0,0,0,0,0,0,0,0,0,0,0,F
51,84281,0,2,1,2,3,1,4,1,2,2,1,1,3,4,A
52,69434,0,1,3,2,2,2,0,3,4,2,2,4,1,A,
53,62783,1,2,0,4,2,1,3,0,1,1,4,5,11,B,
54,46912,0,1,2,2,4,0,2,4,2,1,3,1,6,A,
55,98626,0,2,0,2,5,2,6,5,1,2,2,2,18,A,
56,96596,1,1,2,2,2,2,3,2,3,3,2,2,5,A,
57,80726,1,1,1,1,2,2,8,0,0,1,0,7,5,12,F
58,69983,1,1,2,1,3,1,4,1,2,2,2,0,3,3,A
59,67424,1,3,1,4,8,1,3,4,1,1,7,3,5,A,
60,31085,0,1,1,1,2,2,1,3,1,2,2,4,13,A,
61,50542,0,3,0,3,1,3,0,6,4,5,4,2,11,A,
62,30574,1,2,1,3,2,1,4,1,2,2,1,1,6,0,B
63,74608,0,1,1,2,4,2,5,3,0,2,4,5,3,D,
64,44913,0,1,1,2,1,0,1,5,1,1,2,0,4,F,
65,16240,0,0,0,0,0,0,0,0,0,0,0,0,0,0,F
66,22902,0,1,1,2,1,2,1,3,1,2,2,2,1,F,
67,57725,1,3,4,4,5,5,3,0,3,6,4,4,6,A,
68,93570,2,1,5,6,4,2,4,1,3,4,2,1,8,0,A
69,42371,0,1,2,1,4,2,3,2,0,2,3,5,2,A,
70,19343,1,1,2,2,3,2,2,4,1,2,4,2,4,A,
71,18832,0,1,1,4,3,2,0,1,0,1,2,1,9,B,
72,37786,0,1,1,2,1,2,1,2,1,1,3,6,10,C,
73,97692,0,1,1,2,2,2,0,3,2,1,4,2,5,A,
74,60320,0,1,0,0,0,0,0,0,0,0,0,0,0,F,
75,75683,1,2,3,5,4,3,5,7,6,3,3,4,6,B,
76,17830,1,2,3,2,3,0,3,1,2,2,3,3,7,A,
77,14772,1,1,1,1,4,2,5,4,3,2,4,8,7,A,
78,46516,0,3,1,2,1,2,0,2,0,2,2,2,3,C,
79,36276,0,0,0,0,0,0,0,0,0,0,0,0,0,0,F
80,88009,0,1,2,2,4,2,4,8,4,4,5,2,7,A,
81,16330,1,1,1,1,3,0,3,1,2,1,2,2,5,B,
82,80334,0,2,1,2,2,0,1,3,2,2,3,0,8,A,
83,38873,0,1,1,1,0,0,0,7,0,1,1,1,8,F,
84,36834,0,1,1,2,2,2,1,4,1,1,5,2,6,A,
85,58850,0,1,1,1,2,3,1,5,3,2,2,8,6,C,
86,83943,0,1,1,2,4,5,4,6,4,3,2,3,9,B,
87,31208,3,3,4,8,9,8,3,3,6,5,2,1,7,0,A
88,14313,2,1,1,2,0,5,2,0,4,0,3,0,3,11,C
89,65004,0,3,1,4,4,8,2,3,3,5,4,3,8,A,
90,47088,0,2,1,4,4,3,2,2,1,3,3,4,0,D,
91,30193,0,2,2,3,0,2,2,2,1,1,3,5,8,A,
92,41981,0,1,2,1,2,2,4,3,1,2,4,3,3,A,
